concept_id,hi_absolute,hi_critical,hi_normal,low_absolute,low_critical,low_normal,units,precise,display_precision
1328,NULL,NULL,NULL,NULL,NULL,NULL,'%',0,NULL

1329,NULL,NULL,NULL,NULL,NULL,NULL,'%',1,NULL

1330,NULL,NULL,NULL,NULL,NULL,NULL,'10^3/?L',0,NULL

1331,NULL,NULL,NULL,NULL,NULL,NULL,'10^3/?L',0,NULL

1332,NULL,NULL,NULL,NULL,NULL,NULL,'10^3/?L',0,NULL

1333,NULL,NULL,NULL,NULL,NULL,NULL,'10^3/?L',0,NULL

1334,NULL,NULL,NULL,NULL,NULL,NULL,'10^3/?L',0,NULL

1335,NULL,NULL,NULL,NULL,NULL,NULL,'10^3/?L',0,NULL

1336,NULL,NULL,NULL,NULL,NULL,NULL,'%',0,NULL

1337,NULL,NULL,NULL,NULL,NULL,NULL,'%',0,NULL

1338,NULL,NULL,NULL,NULL,NULL,NULL,'%',0,NULL

1339,NULL,NULL,NULL,NULL,NULL,NULL,'%',0,NULL

1340,NULL,NULL,NULL,NULL,NULL,NULL,'%',0,NULL

1341,NULL,NULL,NULL,NULL,NULL,NULL,'%',0,NULL

1342,100,NULL,NULL,0,NULL,NULL,'kg/m2',1,NULL

1343,NULL,NULL,NULL,NULL,NULL,NULL,'mm',0,NULL

5001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5053,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5054,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5064,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5085,250,NULL,NULL,0,NULL,NULL,'mmHg',0,NULL

5086,150,NULL,NULL,0,NULL,NULL,'mmHg',0,NULL

5087,230,NULL,NULL,0,NULL,NULL,'rate/min',0,NULL

5088,43,NULL,NULL,25,NULL,NULL,'DEGC',1,NULL

5089,250,NULL,NULL,0,NULL,NULL,'kg',1,NULL

5090,228,NULL,NULL,10,NULL,NULL,'cm',1,NULL

5092,100,NULL,NULL,0,NULL,NULL,'%',0,NULL

5093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5094,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5095,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5153,NULL,NULL,NULL,NULL,NULL,NULL,'cm',0,NULL

5195,NULL,NULL,NULL,NULL,NULL,NULL,'cm',0,NULL

5220,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5221,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5223,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5242,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5268,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5270,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5281,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5283,NULL,NULL,NULL,NULL,NULL,NULL,'%',0,NULL

5284,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5285,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5286,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5287,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5288,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5289,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5290,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5291,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5292,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5293,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5294,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5295,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5296,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5297,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5298,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5299,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5301,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5302,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5304,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5305,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5306,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5307,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5308,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5309,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5311,NULL,NULL,NULL,NULL,NULL,NULL,'TannerStage',0,NULL

5314,NULL,NULL,NULL,NULL,NULL,NULL,'cm',1,NULL

5315,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5316,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5317,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5318,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5322,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5324,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5325,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5326,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5352,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5355,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5357,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5358,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5359,NULL,NULL,NULL,NULL,NULL,NULL,'',0,NULL

5360,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5361,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5362,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5363,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5364,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5365,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5366,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5367,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5368,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5369,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5370,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5371,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5372,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5373,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5374,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5375,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5376,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5377,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5378,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5379,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5380,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5381,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5382,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5383,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5384,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5385,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5386,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5387,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5388,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5389,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5390,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5391,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5392,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5393,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5394,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5395,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5396,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5397,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5398,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5399,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5401,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5402,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5403,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5404,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5405,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5406,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5407,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5408,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5409,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5410,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5411,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5412,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5413,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5414,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5415,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5416,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5417,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5418,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5419,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5420,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5421,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5422,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5423,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5425,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5426,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5427,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5428,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5429,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5430,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5431,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5432,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5433,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5434,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5435,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5436,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5437,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5438,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5439,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5440,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5441,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5442,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5443,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5444,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5445,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5446,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5447,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5448,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5449,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5450,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5451,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5452,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5453,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5455,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5456,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5458,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5459,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5460,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5461,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5462,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5463,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5464,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5465,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5466,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5467,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5468,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5469,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5470,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5471,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5472,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5474,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5475,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5476,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5477,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5478,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5479,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5480,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5481,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5482,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5483,NULL,NULL,NULL,NULL,NULL,NULL,'',0,NULL

5484,NULL,NULL,NULL,NULL,NULL,NULL,'',0,NULL

5486,NULL,NULL,NULL,NULL,NULL,NULL,'',0,NULL

5487,NULL,NULL,NULL,NULL,NULL,NULL,'',0,NULL

5488,NULL,NULL,NULL,NULL,NULL,NULL,'',0,NULL

5489,NULL,NULL,NULL,NULL,NULL,NULL,'',0,NULL

5490,NULL,NULL,NULL,NULL,NULL,NULL,'',0,NULL

5491,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5492,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5493,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5494,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5495,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5496,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5497,NULL,NULL,1497,NULL,99,445,'cells/?L',0,NULL

5500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5501,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5502,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5503,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5504,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5505,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5506,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5507,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5508,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5509,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5510,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5511,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5512,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5513,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5514,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5515,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5516,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5517,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5518,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5519,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5520,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5521,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5522,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5523,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5524,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5525,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5527,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5528,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5529,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5530,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5531,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5532,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5533,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5534,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5535,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5536,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5537,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5538,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5539,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5540,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5541,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5545,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5546,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5547,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5549,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5551,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5552,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5553,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5554,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5556,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5557,NULL,NULL,NULL,NULL,NULL,NULL,'#wives',0,NULL

5558,NULL,NULL,NULL,NULL,NULL,NULL,'#children',0,NULL

5559,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5560,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5561,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5562,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5565,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5570,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5572,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5573,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5574,NULL,NULL,NULL,NULL,NULL,NULL,'years',0,NULL

5575,NULL,NULL,NULL,NULL,NULL,NULL,'years',0,NULL

5576,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5579,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

5580,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL

